"Code","Name"
"testing","Student Testing"
"tutoring","Small Group and Individual Tutoring"
"marketing","Marketing and PR"
"extra_academic","Extra Academic Support"
"character_education","Character Education Support"
"private_label_financial_literacy","Private Label Financial Literacy Programs"
"basic_academic","Reading, Writing, and Math Support"
"character_education","Character Education Support"
"character_book","Character Book Community Program"
"referral_fees","Referral Fees"
"tutoring_employment","Tutoring Employment"
"kidsville_news_content_lead","Kidsville News Content Lead"
"kidsville_news_sponsorship","Kidsville News Sponsorship"
"kidsville_news_school_distribution","Kidsville News School Distribution"
"kidsville_news_business_distribution","Kidsville News Business Distribution"
"kidsville_news_advertising","Kidsville News Advertising"
"geographic_marketing_specialist","Develop a Territory"
"education_site_developer","Develop a Service Site"
"tutor","Be a Tutor"
